date,year,month,day,doy,alb
2000-01-01,2000,1,1,1,nan
2000-01-02,2000,1,2,2,nan
2000-01-03,2000,1,3,3,nan
2000-01-04,2000,1,4,4,nan
2000-01-05,2000,1,5,5,nan
2000-01-06,2000,1,6,6,nan
2000-01-07,2000,1,7,7,nan
2000-01-08,2000,1,8,8,nan
2000-01-09,2000,1,9,9,nan
2000-01-10,2000,1,10,10,nan
2000-01-11,2000,1,11,11,nan
2000-01-12,2000,1,12,12,nan
2000-01-13,2000,1,13,13,nan
2000-01-14,2000,1,14,14,nan
2000-01-15,2000,1,15,15,nan
2000-01-16,2000,1,16,16,0.900
2000-01-17,2000,1,17,17,0.900
2000-01-18,2000,1,18,18,0.850
2000-01-19,2000,1,19,19,0.806
2000-01-20,2000,1,20,20,0.779
2000-01-21,2000,1,21,21,nan
2000-01-22,2000,1,22,22,0.856
2000-01-23,2000,1,23,23,0.766
2000-01-24,2000,1,24,24,0.789
2000-01-25,2000,1,25,25,0.888
2000-01-26,2000,1,26,26,0.907
2000-01-27,2000,1,27,27,0.965
2000-01-28,2000,1,28,28,nan
2000-01-29,2000,1,29,29,nan
2000-01-30,2000,1,30,30,0.870
2000-01-31,2000,1,31,31,0.851
2000-02-01,2000,2,1,32,0.855
2000-02-02,2000,2,2,33,0.850
2000-02-03,2000,2,3,34,0.781
2000-02-04,2000,2,4,35,0.850
2000-02-05,2000,2,5,36,0.898
2000-02-06,2000,2,6,37,0.902
2000-02-07,2000,2,7,38,0.880
2000-02-08,2000,2,8,39,0.910
2000-02-09,2000,2,9,40,0.915
2000-02-10,2000,2,10,41,nan
2000-02-11,2000,2,11,42,0.835
2000-02-12,2000,2,12,43,0.914
2000-02-13,2000,2,13,44,0.852
2000-02-14,2000,2,14,45,0.970
2000-02-15,2000,2,15,46,0.850
2000-02-16,2000,2,16,47,0.850
2000-02-17,2000,2,17,48,0.850
2000-02-18,2000,2,18,49,0.839
2000-02-19,2000,2,19,50,0.850
2000-02-20,2000,2,20,51,0.782
2000-02-21,2000,2,21,52,0.892
2000-02-22,2000,2,22,53,0.850
2000-02-23,2000,2,23,54,0.865
2000-02-24,2000,2,24,55,0.850
2000-02-25,2000,2,25,56,0.850
2000-02-26,2000,2,26,57,0.850
2000-02-27,2000,2,27,58,0.850
2000-02-28,2000,2,28,59,nan
2000-02-29,2000,2,29,60,0.825
2000-03-01,2000,3,1,61,0.829
2000-03-02,2000,3,2,62,0.851
2000-03-03,2000,3,3,63,0.851
2000-03-04,2000,3,4,64,0.806
2000-03-05,2000,3,5,65,0.914
2000-03-06,2000,3,6,66,0.812
2000-03-07,2000,3,7,67,0.931
2000-03-08,2000,3,8,68,0.878
2000-03-09,2000,3,9,69,0.825
2000-03-10,2000,3,10,70,nan
2000-03-11,2000,3,11,71,nan
2000-03-12,2000,3,12,72,0.836
2000-03-13,2000,3,13,73,0.871
2000-03-14,2000,3,14,74,0.928
2000-03-15,2000,3,15,75,0.879
2000-03-16,2000,3,16,76,0.844
2000-03-17,2000,3,17,77,0.885
2000-03-18,2000,3,18,78,0.894
2000-03-19,2000,3,19,79,0.914
2000-03-20,2000,3,20,80,0.905
2000-03-21,2000,3,21,81,0.909
2000-03-22,2000,3,22,82,0.896
2000-03-23,2000,3,23,83,0.863
2000-03-24,2000,3,24,84,0.850
2000-03-25,2000,3,25,85,0.846
2000-03-26,2000,3,26,86,0.820
2000-03-27,2000,3,27,87,nan
2000-03-28,2000,3,28,88,0.837
2000-03-29,2000,3,29,89,0.886
2000-03-30,2000,3,30,90,0.878
2000-03-31,2000,3,31,91,0.883
2000-04-01,2000,4,1,92,0.893
2000-04-02,2000,4,2,93,0.852
2000-04-03,2000,4,3,94,0.893
2000-04-04,2000,4,4,95,0.848
2000-04-05,2000,4,5,96,0.858
2000-04-06,2000,4,6,97,0.890
2000-04-07,2000,4,7,98,0.852
2000-04-08,2000,4,8,99,0.834
2000-04-09,2000,4,9,100,0.830
2000-04-10,2000,4,10,101,0.816
2000-04-11,2000,4,11,102,0.851
2000-04-12,2000,4,12,103,0.835
2000-04-13,2000,4,13,104,0.832
2000-04-14,2000,4,14,105,0.843
2000-04-15,2000,4,15,106,0.827
2000-04-16,2000,4,16,107,0.829
2000-04-17,2000,4,17,108,0.819
2000-04-18,2000,4,18,109,0.832
2000-04-19,2000,4,19,110,0.825
2000-04-20,2000,4,20,111,0.839
2000-04-21,2000,4,21,112,0.803
2000-04-22,2000,4,22,113,0.835
2000-04-23,2000,4,23,114,0.845
2000-04-24,2000,4,24,115,0.849
2000-04-25,2000,4,25,116,0.861
2000-04-26,2000,4,26,117,0.842
2000-04-27,2000,4,27,118,0.829
2000-04-28,2000,4,28,119,0.827
2000-04-29,2000,4,29,120,0.810
2000-04-30,2000,4,30,121,0.826
2000-05-01,2000,5,1,122,0.836
2000-05-02,2000,5,2,123,0.840
2000-05-03,2000,5,3,124,0.830
2000-05-04,2000,5,4,125,0.853
2000-05-05,2000,5,5,126,0.824
2000-05-06,2000,5,6,127,0.817
2000-05-07,2000,5,7,128,0.816
2000-05-08,2000,5,8,129,0.816
2000-05-09,2000,5,9,130,0.836
2000-05-10,2000,5,10,131,0.814
2000-05-11,2000,5,11,132,0.829
2000-05-12,2000,5,12,133,0.820
2000-05-13,2000,5,13,134,0.816
2000-05-14,2000,5,14,135,0.839
2000-05-15,2000,5,15,136,0.822
2000-05-16,2000,5,16,137,0.832
2000-05-17,2000,5,17,138,0.828
2000-05-18,2000,5,18,139,0.815
2000-05-19,2000,5,19,140,0.829
2000-05-20,2000,5,20,141,0.817
2000-05-21,2000,5,21,142,0.810
2000-05-22,2000,5,22,143,0.808
2000-05-23,2000,5,23,144,0.818
2000-05-24,2000,5,24,145,0.819
2000-05-25,2000,5,25,146,0.807
2000-05-26,2000,5,26,147,0.819
2000-05-27,2000,5,27,148,0.817
2000-05-28,2000,5,28,149,0.817
2000-05-29,2000,5,29,150,0.818
2000-05-30,2000,5,30,151,0.818
2000-05-31,2000,5,31,152,0.810
2000-06-01,2000,6,1,153,0.811
2000-06-02,2000,6,2,154,0.815
2000-06-03,2000,6,3,155,0.817
2000-06-04,2000,6,4,156,nan
2000-06-05,2000,6,5,157,nan
2000-06-06,2000,6,6,158,nan
2000-06-07,2000,6,7,159,nan
2000-06-08,2000,6,8,160,nan
2000-06-09,2000,6,9,161,nan
2000-06-10,2000,6,10,162,nan
2000-06-11,2000,6,11,163,nan
2000-06-12,2000,6,12,164,nan
2000-06-13,2000,6,13,165,nan
2000-06-14,2000,6,14,166,nan
2000-06-15,2000,6,15,167,nan
2000-06-16,2000,6,16,168,0.802
2000-06-17,2000,6,17,169,0.802
2000-06-18,2000,6,18,170,0.810
2000-06-19,2000,6,19,171,0.797
2000-06-20,2000,6,20,172,0.826
2000-06-21,2000,6,21,173,0.817
2000-06-22,2000,6,22,174,0.812
2000-06-23,2000,6,23,175,0.816
2000-06-24,2000,6,24,176,0.804
2000-06-25,2000,6,25,177,0.809
2000-06-26,2000,6,26,178,0.805
2000-06-27,2000,6,27,179,0.805
2000-06-28,2000,6,28,180,0.811
2000-06-29,2000,6,29,181,0.769
2000-06-30,2000,6,30,182,0.799
2000-07-01,2000,7,1,183,0.808
2000-07-02,2000,7,2,184,0.794
2000-07-03,2000,7,3,185,0.796
2000-07-04,2000,7,4,186,0.790
2000-07-05,2000,7,5,187,0.789
2000-07-06,2000,7,6,188,0.807
2000-07-07,2000,7,7,189,0.786
2000-07-08,2000,7,8,190,0.793
2000-07-09,2000,7,9,191,0.810
2000-07-10,2000,7,10,192,0.803
2000-07-11,2000,7,11,193,0.819
2000-07-12,2000,7,12,194,0.821
2000-07-13,2000,7,13,195,0.814
2000-07-14,2000,7,14,196,0.838
2000-07-15,2000,7,15,197,0.824
2000-07-16,2000,7,16,198,0.831
2000-07-17,2000,7,17,199,0.820
2000-07-18,2000,7,18,200,0.814
2000-07-19,2000,7,19,201,0.796
2000-07-20,2000,7,20,202,0.800
2000-07-21,2000,7,21,203,0.798
2000-07-22,2000,7,22,204,0.809
2000-07-23,2000,7,23,205,0.807
2000-07-24,2000,7,24,206,0.818
2000-07-25,2000,7,25,207,0.866
2000-07-26,2000,7,26,208,0.887
2000-07-27,2000,7,27,209,0.825
2000-07-28,2000,7,28,210,0.838
2000-07-29,2000,7,29,211,0.846
2000-07-30,2000,7,30,212,0.837
2000-07-31,2000,7,31,213,0.834
2000-08-01,2000,8,1,214,0.835
2000-08-02,2000,8,2,215,0.829
2000-08-03,2000,8,3,216,0.829
2000-08-04,2000,8,4,217,0.837
2000-08-05,2000,8,5,218,0.839
2000-08-06,2000,8,6,219,0.828
2000-08-07,2000,8,7,220,0.840
2000-08-08,2000,8,8,221,0.845
2000-08-09,2000,8,9,222,0.828
2000-08-10,2000,8,10,223,0.816
2000-08-11,2000,8,11,224,0.833
2000-08-12,2000,8,12,225,0.830
2000-08-13,2000,8,13,226,0.830
2000-08-14,2000,8,14,227,0.832
2000-08-15,2000,8,15,228,0.838
2000-08-16,2000,8,16,229,0.810
2000-08-17,2000,8,17,230,0.824
2000-08-18,2000,8,18,231,0.843
2000-08-19,2000,8,19,232,0.841
2000-08-20,2000,8,20,233,0.844
2000-08-21,2000,8,21,234,0.842
2000-08-22,2000,8,22,235,0.841
2000-08-23,2000,8,23,236,0.834
2000-08-24,2000,8,24,237,0.837
2000-08-25,2000,8,25,238,0.840
2000-08-26,2000,8,26,239,0.838
2000-08-27,2000,8,27,240,0.852
2000-08-28,2000,8,28,241,0.798
2000-08-29,2000,8,29,242,0.880
2000-08-30,2000,8,30,243,0.834
2000-08-31,2000,8,31,244,0.839
2000-09-01,2000,9,1,245,0.835
2000-09-02,2000,9,2,246,0.835
2000-09-03,2000,9,3,247,0.837
2000-09-04,2000,9,4,248,0.843
2000-09-05,2000,9,5,249,0.835
2000-09-06,2000,9,6,250,0.835
2000-09-07,2000,9,7,251,0.897
2000-09-08,2000,9,8,252,0.811
2000-09-09,2000,9,9,253,0.864
2000-09-10,2000,9,10,254,0.852
2000-09-11,2000,9,11,255,0.861
2000-09-12,2000,9,12,256,0.860
2000-09-13,2000,9,13,257,0.881
2000-09-14,2000,9,14,258,0.859
2000-09-15,2000,9,15,259,0.825
2000-09-16,2000,9,16,260,0.875
2000-09-17,2000,9,17,261,0.877
2000-09-18,2000,9,18,262,0.826
2000-09-19,2000,9,19,263,0.838
2000-09-20,2000,9,20,264,0.839
2000-09-21,2000,9,21,265,0.854
2000-09-22,2000,9,22,266,0.860
2000-09-23,2000,9,23,267,0.832
2000-09-24,2000,9,24,268,0.846
2000-09-25,2000,9,25,269,0.840
2000-09-26,2000,9,26,270,0.842
2000-09-27,2000,9,27,271,0.858
2000-09-28,2000,9,28,272,0.845
2000-09-29,2000,9,29,273,0.839
2000-09-30,2000,9,30,274,0.859
2000-10-01,2000,10,1,275,0.829
2000-10-02,2000,10,2,276,0.858
2000-10-03,2000,10,3,277,0.842
2000-10-04,2000,10,4,278,0.849
2000-10-05,2000,10,5,279,0.771
2000-10-06,2000,10,6,280,0.828
2000-10-07,2000,10,7,281,0.794
2000-10-08,2000,10,8,282,0.823
2000-10-09,2000,10,9,283,0.775
2000-10-10,2000,10,10,284,0.779
2000-10-11,2000,10,11,285,0.894
2000-10-12,2000,10,12,286,0.850
2000-10-13,2000,10,13,287,0.936
2000-10-14,2000,10,14,288,0.900
2000-10-15,2000,10,15,289,0.857
2000-10-16,2000,10,16,290,0.891
2000-10-17,2000,10,17,291,0.793
2000-10-18,2000,10,18,292,0.930
2000-10-19,2000,10,19,293,0.893
2000-10-20,2000,10,20,294,0.879
2000-10-21,2000,10,21,295,0.849
2000-10-22,2000,10,22,296,0.919
2000-10-23,2000,10,23,297,0.874
2000-10-24,2000,10,24,298,0.853
2000-10-25,2000,10,25,299,0.847
2000-10-26,2000,10,26,300,nan
2000-10-27,2000,10,27,301,nan
2000-10-28,2000,10,28,302,0.889
2000-10-29,2000,10,29,303,0.850
2000-10-30,2000,10,30,304,0.850
2000-10-31,2000,10,31,305,0.850
2000-11-01,2000,11,1,306,0.850
2000-11-02,2000,11,2,307,0.850
2000-11-03,2000,11,3,308,0.850
2000-11-04,2000,11,4,309,0.850
2000-11-05,2000,11,5,310,0.851
2000-11-06,2000,11,6,311,0.851
2000-11-07,2000,11,7,312,0.851
2000-11-08,2000,11,8,313,0.826
2000-11-09,2000,11,9,314,0.850
2000-11-10,2000,11,10,315,0.850
2000-11-11,2000,11,11,316,0.854
2000-11-12,2000,11,12,317,0.888
2000-11-13,2000,11,13,318,0.912
2000-11-14,2000,11,14,319,0.857
2000-11-15,2000,11,15,320,0.855
2000-11-16,2000,11,16,321,0.884
2000-11-17,2000,11,17,322,0.852
2000-11-18,2000,11,18,323,nan
2000-11-19,2000,11,19,324,nan
2000-11-20,2000,11,20,325,0.906
2000-11-21,2000,11,21,326,0.909
2000-11-22,2000,11,22,327,0.820
2000-11-23,2000,11,23,328,0.914
2000-11-24,2000,11,24,329,nan
2000-11-25,2000,11,25,330,0.850
2000-11-26,2000,11,26,331,nan
2000-11-27,2000,11,27,332,nan
2000-11-28,2000,11,28,333,0.875
2000-11-29,2000,11,29,334,nan
2000-11-30,2000,11,30,335,nan
2000-12-01,2000,12,1,336,0.863
2000-12-02,2000,12,2,337,nan
2000-12-03,2000,12,3,338,nan
2000-12-04,2000,12,4,339,nan
2000-12-05,2000,12,5,340,nan
2000-12-06,2000,12,6,341,nan
2000-12-07,2000,12,7,342,nan
2000-12-08,2000,12,8,343,nan
2000-12-09,2000,12,9,344,nan
2000-12-10,2000,12,10,345,nan
2000-12-11,2000,12,11,346,nan
2000-12-12,2000,12,12,347,nan
2000-12-13,2000,12,13,348,nan
2000-12-14,2000,12,14,349,nan
2000-12-15,2000,12,15,350,nan
2000-12-16,2000,12,16,351,nan
2000-12-17,2000,12,17,352,nan
2000-12-18,2000,12,18,353,nan
2000-12-19,2000,12,19,354,nan
2000-12-20,2000,12,20,355,nan
2000-12-21,2000,12,21,356,nan
2000-12-22,2000,12,22,357,nan
2000-12-23,2000,12,23,358,nan
2000-12-24,2000,12,24,359,nan
2000-12-25,2000,12,25,360,nan
2000-12-26,2000,12,26,361,nan
2000-12-27,2000,12,27,362,nan
2000-12-28,2000,12,28,363,nan
2000-12-29,2000,12,29,364,nan
2000-12-30,2000,12,30,365,nan
2000-12-31,2000,12,31,366,nan
